,Tenure,Age,Contacts,Income,Bandwidth_GB_Year,Yearly_equip_failure,Tablet,Gender,Techie
4993,19.01406,54,0,40257.26,2171.232828,0,0,2,0
8127,55.39854,52,1,28613.3,5114.637099,1,1,2,0
3032,7.311512,89,1,27157.3,943.8571029,0,0,1,0
7938,47.40865,79,0,12434.17,4467.334158,0,0,1,0
3039,7.72199,54,1,43618.17,1282.858382,0,1,0,0
9655,42.2544,85,1,45028.35,4070.475421,0,0,1,0
2545,2.917886,62,1,20613.16,945.7273128,0,0,2,1
2592,10.48608,88,1,40879.22,874.0562063,0,1,1,0
1188,13.66699636,73,0,58997.61,1523.590353,1,0,1,0
7966,63.83787,83,3,30885.95,6274.202037,1,0,1,0
6077,42.25776,52,0,67205.55,4390.483323,0,0,1,0
107,13.08671185,56,0,12154.01,1436.793746,2,1,0,0
1315,9.141192423,21,1,43889.69,1204.678983,0,0,2,0
8187,39.27244,88,2,1469.25,4046.188443,0,0,2,0
2753,1.835564,81,0,58049.87,387.3140839,0,1,2,0
9753,51.25081,63,1,13223.66,4511.138449,0,0,1,0
6231,45.16619,76,0,27737.13,4680.021701,0,0,1,0
2876,16.48485,36,3,56815.09,1952.410832,1,0,1,0
5323,66.61872,66,1,6649.53,5830.697844,0,0,1,0
799,28.86969715,77,0,36678.72,3088.823891,0,1,1,0
3570,10.8378,62,0,22267.09,1114.43184,0,1,1,0
2894,8.387102,42,1,29125.59,1282.323667,0,1,2,0
2927,11.16076,31,1,34512.65,1663.235204,1,0,1,0
8178,63.89833,30,0,71002.71,6105.282771,1,0,1,0
971,8.137267032,19,2,38914.23,1118.73994,0,0,2,1
6687,68.69095,78,1,53158.49,6189.424043,0,0,2,0
8575,71.6524,25,1,47027.73,6309.319991,1,0,2,0
2020,11.42056,34,1,76063.08,1623.908651,1,1,2,0
9054,66.42219,38,2,21939.65,6104.958036,0,0,2,0
952,27.46106977,39,0,21128.1,3069.566918,0,0,1,0
5359,65.02121,85,2,32092.18,6092.399467,0,1,1,0
3857,34.49234,64,0,14746.24,3346.893074,0,1,1,1
5861,44.99139,62,0,36139.18,5009.989918,2,0,1,0
3145,7.713222,63,2,19297.41,978.4083285,0,1,1,0
3305,14.24378,54,1,16577.49,2255.363032,0,0,1,0
3006,13.46637,80,1,14433.56,2088.717973,0,0,1,0
9001,69.91998,71,1,31172.22,6291.039364,0,0,2,0
7770,55.591,60,1,27715.71,5192.718983,0,0,1,0
7438,62.281,63,0,8460.1,6123.627846,1,0,2,0
7942,63.07037,20,0,8985.14,6316.02224,2,0,2,0
9238,66.46538,63,2,32525.69,6277.545967,1,0,1,1
1056,13.0035986,82,0,63225.56,1480.891431,1,1,1,0
3154,7.194486,58,4,39653.88,826.2618071,0,0,2,0
3787,3.924965,30,3,63208.86,1217.513281,0,1,2,0
9189,61.88298,88,2,33217.6,5132.685447,0,0,2,0
7825,71.4622,73,1,19839.22,6104.609294,0,0,2,0
7539,65.25688,57,1,19198.61,5651.976417,0,0,1,0
7231,71.23368,18,0,87721.54,6293.395149,1,0,2,0
764,7.603357235,46,0,12366.21,1003.664665,0,0,1,0
5019,60.46946,47,0,68898.0,5552.61263,2,0,1,0
4903,20.16597,45,1,24074.11,1934.499334,0,0,1,0
8093,60.95525,21,1,25888.53,5739.842827,0,1,2,0
6843,71.39564,32,2,37628.81,6571.767003,0,0,2,0
2165,1.230987,58,0,64117.45,394.202773,0,0,2,0
1862,8.006997906,81,0,1441.97,1233.807825,1,0,2,0
7850,66.01153,67,1,27898.0,6398.595369,0,1,2,1
9123,64.63082,38,1,22649.13,6313.28774,0,1,1,1
2340,13.24052,63,2,37749.42,1389.232023,0,1,2,0
5527,65.64814,87,1,34209.19,5407.576321,0,1,1,0
6743,64.16746,29,0,5798.65,5889.765255,0,1,2,0
4003,33.19612,61,0,12261.86,2960.494504,1,0,2,0
1123,1.456262249,57,2,47757.95,906.2735981,1,0,2,0
8709,63.56932,79,0,6063.08,5866.269219,0,1,1,1
4049,3.319565,38,0,35337.11,1170.139527,1,0,0,0
7640,50.43597,66,3,27129.17,4503.081003,1,1,0,0
765,2.084118551,22,0,11232.67,364.1402725,0,1,2,1
2344,14.76538,32,0,5365.64,1686.444218,0,0,1,1
4071,1.964781,69,1,88400.34,1072.95902,0,1,1,0
7216,51.08527,60,0,9483.24,4969.700877,0,0,2,0
4216,5.527407,23,1,55241.85,974.4325376,0,0,1,0
7952,58.17786,36,1,15625.8,5515.361269,1,1,1,0
5970,69.36054,54,1,30332.37,6605.569716,0,0,1,0
3350,8.399966,33,3,43426.86,1276.752415,0,0,2,0
4695,16.64412,78,2,32498.09,1333.45659,3,1,2,0
3399,5.996824,66,1,53519.74,1009.804308,0,0,0,1
4081,11.76752,68,1,23406.73,1216.01156,0,0,2,0
9149,61.67004,78,1,4115.32,5333.699374,0,0,2,0
1224,18.42609229,47,2,20095.5,1890.385398,0,0,2,0
6292,65.2477,28,0,10715.15,6279.052879,0,0,1,0
3122,3.62899,69,2,35976.11,582.9171773,1,0,1,0
510,10.15330548,20,0,20314.7,1561.294194,0,0,2,0
5794,67.65646,89,1,35559.68,5824.23881,0,0,1,0
8181,71.023,74,0,12001.77,6518.264091,0,1,2,0
9417,56.14325,70,2,10514.57,5069.704766,1,1,1,0
96,6.796299371,83,0,54466.33,529.40733,1,0,2,0
6681,71.91816,66,2,101607.9,6180.330948,0,0,2,1
1512,17.4880629,67,1,34412.53,2029.97992,0,1,1,0
8791,71.44791,79,0,33129.89,5964.710238,0,0,2,1
119,9.344886869,38,2,11014.98,1403.270091,0,0,1,1
7791,54.79873,41,0,53710.01,4703.453548,1,1,1,0
6517,64.02167,62,1,60981.45,5806.466997,0,0,2,0
33,20.89923386,74,1,25942.1,2680.762173,1,0,1,0
7887,62.96952,76,0,62939.99,5476.19566,0,1,1,1
6830,63.62938,61,1,10427.06,5579.442865,1,0,1,1
5421,45.54189,84,3,15431.03,4164.277154,0,0,1,0
1068,9.690818661,62,0,56372.08,1782.558347,0,0,2,0
1347,3.135848347,39,0,11435.62,677.2734494,0,0,1,0
4747,4.115815,60,0,19746.8,451.0754045,1,0,2,0
6005,56.08957,25,2,12346.69,4840.964036,1,0,2,0
6039,42.10529,24,1,5911.67,3596.735771,0,0,2,0
3817,2.440105,46,1,49870.24,546.329954,0,1,1,0
8446,67.11199,50,2,39651.69,5739.420369,0,0,2,0
5269,57.6618,53,1,68939.17,5960.117505,0,0,1,0
6897,70.43382,44,3,53049.26,6669.578632,1,0,2,1
5309,67.429,41,1,95535.14,6078.61865,0,1,1,1
31,3.586184954,40,2,21793.88,492.4771472,0,1,2,0
5674,57.50673,84,2,50270.9,4866.25354,0,1,1,1
4386,17.77264,48,0,34590.21,2229.782748,0,0,1,0
29,5.425864884,69,1,33442.79,1745.125956,0,1,1,0
4202,2.885895,49,1,46328.01,867.4854039,0,1,2,0
7507,55.55453,39,0,18517.01,5320.150962,0,0,1,0
735,5.473564746,47,1,16091.65,736.1743773,0,0,1,0
2067,9.061231,32,0,53267.14,1172.004801,0,0,2,0
106,10.77094687,53,1,30550.42,2072.564168,0,0,2,0
9644,52.60822,26,1,81108.99,5249.057419,0,0,1,0
8894,39.23505,32,0,90780.38,4093.69412,0,0,2,0
8020,51.74095,73,0,49768.03,5168.330032,2,1,2,0
2232,4.338536,70,1,16662.12,1230.940963,0,1,1,0
993,4.868716415,34,3,10365.43,791.8768514,0,1,1,0
9412,50.58579,84,0,2635.94,4395.076801,0,1,2,0
7058,69.66427,18,0,22633.17,6250.190447,1,0,2,0
6789,64.6641,42,0,8156.42,5880.897031,1,1,2,0
360,6.10108047,85,2,70023.28,1080.159892,0,0,1,0
304,16.84928353,62,1,28502.33,1729.837284,2,0,1,0
2627,24.2732,56,0,20980.42,2765.521967,1,0,2,1
8965,71.13774,18,2,54102.22,6343.360731,0,0,0,0
4513,7.685406,78,1,30351.92,1057.31153,1,0,2,0
5910,69.83332,71,1,29957.52,6398.841901,0,1,1,1
8313,56.79639,65,1,52360.6,5348.891613,3,0,1,0
3100,3.493433,76,1,25114.38,882.4522754,0,1,1,0
5703,66.54232,63,1,44689.55,5932.384715,0,0,1,1
3898,14.55,48,1,68469.87,1990.499153,2,1,2,1
5440,62.59338,68,1,75171.75,5942.048606,0,0,2,0
7930,46.39161,80,1,32843.32,3951.00192,1,0,1,0
621,1.445148407,43,2,14900.46,524.9630078,3,0,2,0
7235,52.07056,70,2,14142.98,4558.313091,1,1,2,0
2498,5.714937,85,3,24604.91,750.9484926,0,0,1,1
713,5.759571228,49,1,52875.82,1251.370845,0,1,1,0
8403,68.97498,28,3,58391.65,6296.620487,0,0,2,0
2855,1.462471,73,1,43334.45,447.1773574,0,1,1,0
4269,4.072959,33,1,90633.74,1084.469104,0,0,1,1
2908,10.74959,45,1,19739.42,1493.782205,0,1,1,0
8080,48.77002,75,2,41305.22,4420.056022,0,0,2,0
4516,8.561641,89,1,17072.33,984.7206752,0,0,1,0
1261,14.96689418,63,3,35130.18,1919.921479,0,0,1,0
3160,2.312021,19,3,78517.82,908.2440178,0,0,2,0
970,8.840888613,33,3,49397.46,1069.849043,0,0,2,1
3912,21.29638,64,1,100860.9,2558.308043,0,1,2,0
5198,67.20907,31,1,26804.03,6764.539694,0,1,1,1
8846,54.37409,69,1,30256.32,4599.967755,0,0,1,0
259,6.549035393,47,1,75042.1,1489.077486,1,1,2,0
3790,9.747138,48,0,40982.78,1677.870071,0,1,2,0
9202,52.78111,53,0,22280.3,5385.589638,1,0,2,0
487,2.640977982,34,2,46533.08,522.7315686,0,0,2,0
7907,56.09767,83,0,16263.98,5286.98629,1,1,1,1
518,20.91720893,28,1,52946.65,2633.809472,0,0,1,0
8342,70.77468,89,4,28658.87,6033.581345,1,0,1,0
311,9.821728297,50,1,40271.47,1283.463995,0,0,1,1
3231,8.539485,58,0,98555.98,971.9322124,0,0,2,0
7932,70.74092,70,0,50998.03,6190.252926,0,1,1,0
7457,66.89083,37,0,8054.38,6191.698375,1,1,1,0
9783,57.01956,27,0,31930.06,5056.967909,1,0,1,0
5183,52.62121,54,0,12520.32,5208.79271,1,0,1,1
8076,55.97831,23,1,26214.55,5093.145531,0,0,2,0
6501,65.62879,34,1,31461.9,6278.608691,0,0,1,0
6790,69.14141,69,0,53224.48,6746.608618,0,0,1,1
7772,61.70653,36,2,35138.0,5351.253775,0,0,2,0
2737,14.60084,51,0,31246.64,1738.296024,0,0,2,0
7841,64.98884,62,1,41287.82,6116.781073,0,0,1,0
6261,64.34541,60,0,12115.07,5925.795152,0,0,1,0
8205,64.44587,54,0,53517.26,5642.295973,1,1,2,0
1247,17.63783701,22,0,18159.87,1979.490592,0,0,2,0
9335,68.95831,75,0,52626.1,5839.250864,1,0,2,0
4194,1.743805,75,1,24385.38,847.0257353,0,0,1,0
8000,66.29727,53,0,37808.3,5766.157948,0,0,1,0
7377,55.54544,39,2,112687.7,4729.636324,0,1,2,0
3434,15.43828,43,0,37218.44,1622.823317,1,0,0,0
5381,45.33017,41,0,24818.42,4102.71703,0,0,2,0
958,14.38485335,85,2,55859.65,1794.480836,0,1,1,0
416,6.417132666,22,1,15380.9,1155.782468,2,1,2,0
5741,64.47076,79,0,29254.96,6033.647017,0,0,1,0
6727,58.01991,61,0,42590.57,4989.154555,0,0,2,0
4381,6.91807,55,1,49993.51,837.0503656,1,0,1,1
5196,58.54344,29,3,37830.82,5519.682788,0,0,2,0
1112,10.30304569,29,3,46393.66,1574.687531,0,0,1,0
2688,15.51392,82,3,22420.64,1244.129071,0,0,1,1
6472,67.73639,61,1,15422.66,6667.024092,1,0,1,0
8819,68.47424,83,0,34710.68,5805.877345,0,1,1,1
7807,67.61562,28,1,18620.96,5852.816544,0,0,2,1
3410,9.767357,18,0,10272.73,1710.612591,0,0,2,0
80,9.82814183,29,2,37428.26,1771.286466,1,0,2,0
4613,11.72692,73,0,8510.91,1372.468821,0,0,1,0
1373,2.045299662,32,0,57826.31,495.8370195,0,1,1,1
1509,4.909764597,22,1,46078.58,1323.979879,0,0,1,0
6442,50.86377,34,0,13728.71,4415.844265,1,0,2,0
3070,7.220079,62,0,72764.42,787.3445005,1,0,2,0
3015,7.179432,68,1,5505.74,1330.308571,0,1,2,0
4822,1.331372,25,1,71806.84,740.5922353,0,0,2,0
7821,53.08332,37,0,38040.43,4823.231075,0,0,2,0
92,3.273341151,68,1,115510.46,443.984031,0,0,2,0
9420,57.33305,43,1,44276.29,5586.884248,2,0,1,0
6599,69.4907,20,1,15266.39,6394.925559,1,0,1,0
4442,21.36386,27,1,62893.96,1999.438675,0,0,2,0
7601,50.09435,85,1,77478.63,4561.818178,1,0,1,0
3834,8.514329,25,0,60581.95,1269.863425,0,1,1,1
9701,55.23911,68,0,33362.41,4778.807562,0,0,2,1
4321,5.126165,37,1,88324.05,703.0576657,0,1,2,1
3393,9.151527,29,1,31020.23,1396.341948,0,1,2,0
4751,5.792269,83,0,19271.85,433.9442354,0,1,2,1
7228,60.76389,22,1,67857.57,5701.462059,0,0,2,0
9190,57.98641,46,0,32703.9,5084.889707,0,0,2,0
2360,20.14176,53,0,134691.3,1982.143037,0,0,2,0
1147,7.95236848,49,1,15777.93,1197.290608,1,1,2,0
5665,67.0795,38,1,45285.69,6157.745923,0,0,2,1
8074,66.64396,40,3,8434.43,5883.186087,0,1,2,0
4942,6.214633,26,2,29977.3,1056.212192,0,0,1,0
3662,7.863565,36,2,50827.4,837.2841389,1,0,2,0
1562,2.427380647,70,0,8253.96,718.4643309,0,0,1,0
4112,2.54657,61,0,43528.14,576.7539469,0,0,1,1
9049,63.00932,67,1,9724.88,5910.092809,1,1,1,1
9275,55.85553,76,1,51864.36,5005.866114,0,1,2,0
8537,59.56187,75,1,27106.57,5092.536093,0,0,2,0
794,4.933319572,62,1,57559.65,854.4182496,0,0,1,0
5853,60.54883,21,1,97769.66,5617.743323,0,0,2,0
7618,66.31026,31,0,7108.46,5941.885851,0,0,1,0
1593,16.52190477,67,0,80127.15,1630.52375,0,0,2,0
7417,38.36776,27,1,68388.05,3805.559709,0,0,2,1
5266,68.06938,85,0,101766.0,6048.018658,0,1,1,1
7146,56.27454,72,1,29036.18,5582.738002,0,0,2,1
88,3.76663012,21,4,15609.05,1393.202392,0,0,2,0
8694,55.8392,43,0,9043.82,5722.756561,0,0,1,0
9731,65.39241,70,3,3439.92,5602.940401,0,0,1,0
9445,70.63095,20,0,47168.82,6280.352244,0,0,1,0
6753,63.30988,72,0,77544.22,6125.429918,0,1,1,0
3501,6.081227,86,1,26071.16,1409.589822,1,0,1,0
2233,8.492867,48,2,35433.48,1013.266498,0,1,2,0
2802,8.081086,36,1,108914.2,1387.096942,0,1,1,1
4423,15.22417,73,2,87527.27,1570.995815,0,0,1,0
5662,66.15315,35,0,9377.76,5812.769976,1,0,2,0
7169,63.20516,84,2,15550.06,5437.952701,1,0,2,0
8336,60.45695,18,1,16151.73,6227.256543,1,0,2,0
2147,16.64818,23,2,27135.0,1923.285458,0,0,2,0
7968,54.23761,43,1,20496.34,4865.394915,1,0,1,1
6550,52.55226,87,2,2374.07,5180.160828,0,0,2,0
7642,65.03892,38,1,26759.89,6018.077107,0,0,2,0
6163,55.28091,33,2,27751.19,4998.892491,0,1,2,0
1494,7.608938235,79,2,69154.47,1422.716519,0,1,2,0
7695,57.70698,57,2,20907.94,5331.810673,0,1,2,0
7093,41.22287,29,1,57966.56,4181.563878,0,0,1,0
1408,4.556801333,71,0,34905.9,871.9497737,0,1,1,0
6690,58.74921,20,2,71675.09,5464.935804,1,0,2,0
3400,4.93863,39,1,75680.04,722.8952824,0,1,1,0
108,14.76468813,42,2,30649.31,1963.332683,2,0,1,0
5635,65.29309,34,1,24721.14,6160.220905,0,1,2,0
8481,63.81393,85,0,65640.28,6206.567047,0,0,1,0
6603,68.99972,73,1,9237.06,6353.433378,0,1,2,0
1090,5.824620949,51,3,25808.98,1228.657511,0,0,1,0
5559,61.92686,59,1,38226.33,5863.779578,1,0,2,0
9411,49.04173,41,1,49987.27,5205.119963,0,1,1,0
8142,65.61856,65,0,11404.4,5761.002305,0,1,1,0
8663,65.351,75,1,61350.75,5630.09035,0,0,2,0
6595,56.46532,43,2,22872.44,5469.097733,0,0,1,1
623,5.981775914,48,2,163086.24,1281.923094,0,0,1,0
6870,60.42123,54,0,11428.5,5618.040366,0,0,2,1
4813,29.58658,34,2,33426.12,3041.355145,0,0,2,0
6552,42.43922,32,0,59646.13,3850.216289,1,1,1,0
7529,50.65407,80,3,37333.83,5310.662479,1,0,2,0
5795,50.09295,30,0,50577.25,4941.678785,1,0,1,0
7436,55.67036,24,0,48510.35,5509.37969,0,0,2,0
4217,14.93552,40,2,24810.37,1670.49598,0,1,2,1
5940,56.20194,56,0,61316.31,4923.50439,0,1,2,0
8500,44.14809,34,0,17175.88,4347.709252,2,1,1,0
6428,58.10315,63,4,28140.14,5398.317847,0,0,2,0
6826,68.4792,80,0,19743.2,6471.220737,1,0,1,0
4130,18.61815,55,2,40877.0,2064.732863,1,1,2,0
7801,63.94696,85,0,43345.6,5742.088036,0,0,2,1
7753,66.49211,23,2,57725.74,6528.05337,0,0,1,0
4721,15.75222,85,0,18513.69,1680.906796,0,0,1,0
1650,7.182441329,66,1,117333.44,785.4118808,0,0,2,1
4140,4.984488,42,0,22986.69,1295.610833,0,1,1,0
1617,5.136076177,66,2,23711.3,1435.783347,0,0,2,0
2029,7.178731,53,2,45693.25,1421.45141,0,1,1,0
8517,69.93109,23,2,55153.17,6181.750229,0,0,1,0
4575,7.84461,44,1,31012.18,1024.765594,0,0,1,1
3992,15.91192,52,1,77013.22,2214.777592,1,1,2,0
7376,47.02083,86,0,8792.33,4064.656734,0,0,1,1
6149,56.84855,59,2,2131.71,5047.446061,1,0,2,0
4908,12.00948,85,1,39001.57,1885.394921,0,1,2,0
5026,45.4868,56,1,14960.01,4132.534649,1,0,2,0
8260,63.5224,63,2,35901.58,5571.995482,1,0,0,0
4731,10.10287,55,2,24164.69,990.4553964,0,1,2,0
7548,41.56439,56,0,61449.42,3937.196959,0,1,2,0
8134,55.63139,30,1,26412.67,4819.60719,0,1,2,0
1606,3.700907475,82,1,47169.83,1274.602374,0,0,2,1
4773,3.872474,18,1,74084.32,892.5015342,0,0,1,0
8109,69.0717,24,0,19228.8,6286.518729,1,0,2,0
6951,53.26798,22,0,19406.97,5006.001706,1,0,2,0
6004,70.56628,65,1,42345.21,6520.292051,0,0,2,0
7728,71.4869,55,1,32893.0,6006.935704,1,0,2,0
3541,29.38102,60,0,4247.27,2754.774128,0,0,1,0
388,2.993625911,23,3,21072.82,1035.183038,1,0,2,0
1794,8.248755691,29,0,60671.21,1716.011284,1,0,1,0
8731,71.99373,79,0,38395.52,6877.221038,0,0,1,0
4919,4.64085,45,0,13216.99,1166.216656,0,0,2,1
5537,66.63528,28,0,18033.25,6131.622551,1,1,2,0
3872,2.664026,27,1,23599.71,579.0788972,0,0,2,0
8868,58.90417,54,2,44290.52,4880.899279,0,0,2,0
2254,6.791156,74,1,18527.27,797.3327965,1,0,2,0
3412,7.556151,60,1,53710.84,962.6412103,0,0,1,0
5459,47.02878,66,0,18020.93,4811.89025,1,1,1,1
4955,19.52917,27,3,14624.56,2768.129883,0,0,1,0
7396,70.02963,69,1,26281.66,5974.900569,2,0,1,0
5414,64.99757,33,0,16470.19,6006.905316,0,0,1,0
7399,69.9263,58,2,34267.42,6820.82156,0,1,2,0
7414,69.03225,71,2,41217.44,5925.026826,0,1,2,0
9100,66.70866,59,0,42809.29,6587.367938,0,1,2,1
4851,5.236648,63,0,5362.71,1060.76878,1,1,2,0
2025,4.773251,77,2,40939.24,1557.79907,1,1,1,0
2615,1.275948,48,1,5952.44,476.7850753,0,0,1,0
7388,61.52081,80,0,51063.25,5777.025623,0,0,1,0
2926,4.847252,56,1,98436.93,946.5642973,0,0,1,1
1121,3.147892285,57,3,8085.85,305.7666287,1,0,2,0
2910,5.585075,64,2,36384.55,768.7084381,0,1,2,1
8146,69.66502,86,0,6550.77,6307.09359,0,1,2,0
7383,67.96008,66,0,62184.87,6140.731914,0,0,1,0
3482,15.71625,49,0,32386.97,2361.62202,0,0,1,0
795,6.284107728,85,0,14824.71,829.2707102,0,1,1,0
1575,16.8649602,35,0,47737.22,2425.22825,0,0,2,0
6176,50.56974,84,1,80205.9,4729.989422,1,1,2,1
6266,63.52047,24,0,120864.5,5789.828433,0,0,2,0
2458,15.4459,55,0,32193.76,1983.907992,0,0,2,0
3312,15.3889,65,1,24005.64,1949.172062,0,1,2,0
1253,13.13159395,64,1,33589.11,1752.198908,0,0,1,1
6834,62.5664,45,0,52440.69,6135.698624,1,0,2,0
8794,51.99282,82,2,12537.81,4977.28191,1,1,2,0
3837,2.138612,80,1,45904.79,292.5858924,1,0,1,0
4398,7.579193,84,0,45874.19,1275.031579,0,0,2,1
3595,6.38998,61,0,22872.65,599.0290899,0,0,2,0
6621,58.52409,53,0,23522.42,4981.220406,0,0,2,0
8382,71.32046,53,5,10475.58,5994.956113,1,0,0,0
2124,16.85088,45,1,31486.98,1661.330631,0,0,1,1
3238,10.34256,52,1,37354.74,1140.676882,0,0,1,1
5403,56.716,20,0,13371.2,5386.455531,0,0,2,0
5998,58.94486,42,0,9039.85,6115.579407,0,0,1,0
5938,68.41303,36,1,21961.36,6548.739039,0,0,2,0
2045,25.17478,44,2,24218.05,2341.106117,1,0,2,0
1578,11.53737155,83,3,79304.79,1507.329753,0,0,1,0
14,10.06019902,30,3,64256.81,1582.295235,0,0,1,0
2673,16.5852,22,2,58622.05,2329.310551,0,0,1,0
7016,43.92326,28,1,15824.51,4136.166396,0,1,1,0
8720,62.50486,58,0,46509.62,5510.771354,1,1,1,0
8849,51.9647,48,0,72425.99,5185.231247,2,1,2,0
4812,1.329981,22,1,11423.37,1244.63125,1,0,2,0
1084,8.458121948,52,0,13376.86,1155.865056,0,1,1,1
4983,16.60248,54,1,54875.71,1784.783191,1,0,1,0
7155,54.57315,68,0,88340.8,5025.332968,0,0,2,0
2884,6.140643,25,2,107174.6,924.5326675,0,1,1,0
333,13.66061487,31,1,12951.51,2205.334092,0,0,1,0
7204,64.63609,45,1,40824.52,5661.026883,0,1,2,1
4367,11.86797,70,1,89882.52,1597.444059,0,1,1,0
3079,8.922175,21,1,13131.39,1136.966259,0,1,2,0
7203,69.93726,35,0,80011.9,5975.247846,0,1,2,1
9909,60.93141,37,2,30026.56,5639.075466,0,0,2,0
8864,70.19945,89,0,11681.78,6254.922893,0,0,2,0
263,10.23679934,75,1,14039.21,1662.533055,0,0,1,0
4337,6.186286,23,0,130732.2,1165.027263,0,1,1,0
8895,67.15929,29,1,40412.56,6710.02165,0,1,2,0
8447,55.18746,77,1,4489.66,5121.506186,0,0,1,0
5903,55.67612,78,1,84969.58,4661.218675,1,0,2,0
1498,4.955415304,19,1,24897.26,1111.571623,0,1,2,0
4190,6.184958,83,0,12711.69,1468.274084,1,1,1,0
7485,59.16562,55,0,60744.3,5431.357184,0,1,1,0
9643,49.4719,49,3,32424.01,4545.534432,0,0,1,0
8310,46.84844,31,0,23191.81,4839.25878,0,0,2,0
7590,66.58823,60,0,6362.26,5672.561903,0,1,2,0
500,11.91663193,54,1,28712.86,1372.385193,0,0,2,0
9155,60.18256,88,2,22324.49,5329.313105,1,0,1,0
9414,56.39145,55,2,123272.3,5231.943657,0,0,2,0
3095,1.365304,20,3,26435.11,1093.192377,0,1,1,0
4631,19.6447,85,2,61034.25,1657.906578,0,0,1,0
367,5.25445262,89,0,28219.28,686.9354616,0,0,1,0
4058,2.224168,49,1,49081.51,1249.968178,1,0,1,0
8174,69.70038,34,2,46502.45,6534.959838,0,0,1,0
4630,6.974284,77,3,36545.88,1235.844622,0,0,1,0
6070,48.79525,37,1,44584.01,5048.197523,0,1,1,0
2664,10.59491,55,0,77277.55,1272.863604,0,1,2,0
1026,12.43358232,89,0,77269.05,1086.632821,1,0,2,1
5908,56.81183,87,2,27679.48,4819.114767,0,0,2,0
5050,61.78014,26,1,48582.37,5900.543943,0,0,2,0
6328,55.11933,33,2,41074.27,5052.938652,0,1,2,0
9733,65.85431,26,0,39573.48,5978.883731,0,1,1,0
1691,20.51922799,60,0,35949.37,2446.475453,0,1,1,0
673,15.92219451,84,2,37376.03,1986.939234,0,0,1,0
5572,64.48138,58,0,36531.81,6277.702239,0,0,1,0
5766,54.7075,88,2,65204.61,4974.163846,0,0,1,1
